729C011	T	Start Streaming
E686035	S	C01,P02,SDP,ET 11.65 sec,T 18.35 sec,P 3.008027 bar
1287035	S	C01,P02,SDP,ET 11.70 sec,T 18.30 sec,P 3.008019 bar
5F88035	S	C01,P02,SDP,ET 11.75 sec,T 18.25 sec,P 3.008012 bar
4889035	S	C01,P02,SDP,ET 11.80 sec,T 18.20 sec,P 3.008004 bar
748A035	S	C01,P02,SDP,ET 11.85 sec,T 18.15 sec,P 3.007997 bar
228B035	S	C01,P02,SDP,ET 11.90 sec,T 18.10 sec,P 3.007988 bar
D58C035	S	C01,P02,SDP,ET 11.95 sec,T 18.05 sec,P 3.007979 bar
1C8D035	S	C01,P02,SDP,ET 12.00 sec,T 18.00 sec,P 3.007972 bar
BC8E035	S	C01,P02,SDP,ET 12.05 sec,T 17.95 sec,P 3.007964 bar
888F035	S	C01,P02,SDP,ET 12.10 sec,T 17.90 sec,P 3.007954 bar
AF90035	S	C01,P02,SDP,ET 12.15 sec,T 17.85 sec,P 3.007947 bar
0191035	S	C01,P02,SDP,ET 12.20 sec,T 17.80 sec,P 3.007941 bar
6292035	S	C01,P02,SDP,ET 12.25 sec,T 17.75 sec,P 3.007935 bar
0093035	S	C01,P02,SDP,ET 12.30 sec,T 17.70 sec,P 3.007929 bar
6994035	S	C01,P02,SDP,ET 12.35 sec,T 17.65 sec,P 3.007923 bar
CC95035	S	C01,P02,SDP,ET 12.40 sec,T 17.60 sec,P 3.007915 bar
3996035	S	C01,P02,SDP,ET 12.45 sec,T 17.55 sec,P 3.007910 bar
2097035	S	C01,P02,SDP,ET 12.50 sec,T 17.50 sec,P 3.007905 bar
9F98035	S	C01,P02,SDP,ET 12.55 sec,T 17.45 sec,P 3.007898 bar
6399035	S	C01,P02,SDP,ET 12.60 sec,T 17.40 sec,P 3.007890 bar
F49A035	S	C01,P02,SDP,ET 12.65 sec,T 17.35 sec,P 3.007884 bar
DF9B035	S	C01,P02,SDP,ET 12.70 sec,T 17.30 sec,P 3.007879 bar
C39C035	S	C01,P02,SDP,ET 12.75 sec,T 17.25 sec,P 3.007871 bar
A19D035	S	C01,P02,SDP,ET 12.80 sec,T 17.20 sec,P 3.007865 bar
C69E035	S	C01,P02,SDP,ET 12.85 sec,T 17.15 sec,P 3.007859 bar
1F9F035	S	C01,P02,SDP,ET 12.90 sec,T 17.10 sec,P 3.007855 bar
0DA0035	S	C01,P02,SDP,ET 12.95 sec,T 17.05 sec,P 3.007848 bar
46A1035	S	C01,P02,SDP,ET 13.00 sec,T 17.00 sec,P 3.007842 bar
0AA2035	S	C01,P02,SDP,ET 13.05 sec,T 16.95 sec,P 3.007836 bar
9CA3035	S	C01,P02,SDP,ET 13.10 sec,T 16.90 sec,P 3.007830 bar
8EA4035	S	C01,P02,SDP,ET 13.15 sec,T 16.85 sec,P 3.007824 bar
E4A5035	S	C01,P02,SDP,ET 13.20 sec,T 16.80 sec,P 3.007819 bar
0AA6035	S	C01,P02,SDP,ET 13.25 sec,T 16.75 sec,P 3.007813 bar
41A7035	S	C01,P02,SDP,ET 13.30 sec,T 16.70 sec,P 3.007808 bar
AAA8035	S	C01,P02,SDP,ET 13.35 sec,T 16.65 sec,P 3.007800 bar
06A9035	S	C01,P02,SDP,ET 13.40 sec,T 16.60 sec,P 3.007793 bar
88AA035	S	C01,P02,SDP,ET 13.45 sec,T 16.55 sec,P 3.007787 bar
EEAB035	S	C01,P02,SDP,ET 13.50 sec,T 16.50 sec,P 3.007780 bar
BFAC035	S	C01,P02,SDP,ET 13.55 sec,T 16.45 sec,P 3.007772 bar
EBAD035	S	C01,P02,SDP,ET 13.60 sec,T 16.40 sec,P 3.007765 bar
C7AE035	S	C01,P02,SDP,ET 13.65 sec,T 16.35 sec,P 3.007757 bar
07AF035	S	C01,P02,SDP,ET 13.70 sec,T 16.30 sec,P 3.007753 bar
FEB0035	S	C01,P02,SDP,ET 13.75 sec,T 16.25 sec,P 3.007747 bar
A2B1035	S	C01,P02,SDP,ET 13.80 sec,T 16.20 sec,P 3.007740 bar
EAB2035	S	C01,P02,SDP,ET 13.85 sec,T 16.15 sec,P 3.007734 bar
DAB3035	S	C01,P02,SDP,ET 13.90 sec,T 16.10 sec,P 3.007726 bar
25B4035	S	C01,P02,SDP,ET 13.95 sec,T 16.05 sec,P 3.007720 bar
B4B5035	S	C01,P02,SDP,ET 14.00 sec,T 16.00 sec,P 3.007714 bar
00B6035	S	C01,P02,SDP,ET 14.05 sec,T 15.95 sec,P 3.007709 bar
00B7035	S	C01,P02,SDP,ET 14.10 sec,T 15.90 sec,P 3.007703 bar
C4B8035	S	C01,P02,SDP,ET 14.15 sec,T 15.85 sec,P 3.007697 bar
6AB9035	S	C01,P02,SDP,ET 14.20 sec,T 15.80 sec,P 3.007691 bar
CFBA035	S	C01,P02,SDP,ET 14.25 sec,T 15.75 sec,P 3.007685 bar
86BB035	S	C01,P02,SDP,ET 14.30 sec,T 15.70 sec,P 3.007679 bar
15BC035	S	C01,P02,SDP,ET 14.35 sec,T 15.65 sec,P 3.007675 bar
8EBD035	S	C01,P02,SDP,ET 14.40 sec,T 15.60 sec,P 3.007669 bar
D9BE035	S	C01,P02,SDP,ET 14.45 sec,T 15.55 sec,P 3.007663 bar
62BF035	S	C01,P02,SDP,ET 14.50 sec,T 15.50 sec,P 3.007657 bar
81C0035	S	C01,P02,SDP,ET 14.55 sec,T 15.45 sec,P 3.007651 bar
C2C1035	S	C01,P02,SDP,ET 14.60 sec,T 15.40 sec,P 3.007645 bar
4CC2035	S	C01,P02,SDP,ET 14.65 sec,T 15.35 sec,P 3.007641 bar
8AC3035	S	C01,P02,SDP,ET 14.70 sec,T 15.30 sec,P 3.007633 bar
98C4035	S	C01,P02,SDP,ET 14.75 sec,T 15.25 sec,P 3.007627 bar
